data,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
2025-01-18,30668.62,61157.42,11146.9,2791.85,1330.71,144.780567,72.905409,134.962881,56.785011,442.4019,419.97879,122.842281,9498.44,11145.53,30854.71,20527.99,25899.67,8140.22,11814.56,112.25,24099.59,21733.44,10502.95,12467.63,14578.45,0,15307.22,7923.615015
2025-01-19,30668.62,61157.42,10795.12,2703.85,1159.52,144.780567,72.905409,134.962881,56.785011,442.4019,419.97879,122.842281,9498.44,11145.53,30854.71,20527.99,25899.67,8140.22,11814.56,112.25,24099.59,21733.44,10502.95,12467.63,14578.45,0,13869.61,7922.948382
2025-01-20,30668.62,61157.42,10795.12,2703.85,1159.52,144.780567,72.905409,134.962881,56.785011,442.4019,419.97879,122.842281,9498.44,11145.53,30854.71,20527.99,25899.67,8140.22,11814.56,112.25,24099.59,21733.44,10502.95,12467.63,14578.45,0,13869.61,7922.948382
2025-01-21,30770.76,61621.2,11074.3,2625.95,1165.8,144.376826,72.702102,134.586518,56.626658,441.1682,418.80762,122.499718,9503.41,11149.84,31221.29,20537.99,26079.69,8143.62,11820.12,112.3,24126.55,21563.17,10506.53,12463.14,14769.13,0,13446.57,7921.315048
2025-01-22,30851.52,61364.45,10853.6,2817.46,1159.83,141.592164,73.272304,135.685032,56.6846,438.321128,421.25608,122.140396,9508.39,11154.15,31429.08,20559.75,26386.2,8153.38,11829.42,112.4,24143.84,21568.75,10518.5,12437.46,14884.17,0,13450.55,7935.36552
2025-01-23,30901.21,61041.09,10972.25,2743.41,1120.22,141.652305,72.815818,136.306935,57.195459,439.389414,420.383654,122.34958,9513.37,11158.47,31448.09,20572.03,26282.53,8156.88,11835.55,112.45,24164.91,21646.27,10521.18,12458.14,14915.07,0,14454.53,7940.152421
2025-01-24,30901.21,61041.09,10972.25,2743.41,1120.22,140.521815,72.234694,135.219105,56.738997,435.882762,417.028682,121.37314,9513.37,11158.47,31448.09,20572.03,26282.53,8156.88,11835.55,112.45,24164.91,21646.27,10521.18,12458.14,14915.07,0,14454.53,7938.163043
2025-01-25,30521.93,60722.28,10917.56,2763.13,1069.78,141.99479,72.706046,135.749376,56.856835,435.470329,420.976255,121.314221,9518.35,11162.78,31210.31,20581.9,26333.67,8160.72,11840.45,112.5,24175.66,21586.58,10522.92,12448.71,14875.14,0,14451.52,2754.99142
2025-01-26,30521.93,60722.28,10899.8,2739.52,1059.41,141.99479,72.706046,135.749376,56.856835,435.470329,420.976255,121.314221,9518.35,11162.78,31210.31,20581.9,26333.67,8160.72,11840.45,112.5,24175.66,21586.58,10522.92,12448.71,14875.14,0,14451.52,7932.26142
2025-01-27,30521.93,60034.59,10568.77,2507.4,982.41,136.845194,72.363786,136.845194,58.021414,437.08675,426.063274,121.19897,9523.33,11167.1,31215.68,20581.9,26234.14,8166.95,11846.59,112.55,24194.6,21569.53,10528.82,12469.16,14950.67,0,14448.4,7929.349044
2025-01-28,31125.92,59675.54,10394.06,2413.09,934.94,136.762604,72.535444,135.701972,57.686596,434.210956,425.018812,120.7942,9528.32,11171.42,32158.56,20602.93,25656.05,8170.27,11852.18,112.6,24205.38,21730.75,10531.11,12463.8,15167.05,0,14452.63,7930.788912
2025-01-29,30719.49,59487.4,10561.88,2456.11,955.23,136.22175,71.88993,135.04995,57.06666,431.10522,424.54314,119.87514,9533.31,11175.74,31886.84,20612.89,25973.06,8174.79,11857.6,112.66,24223.97,21742.83,10536.14,12481.02,15066.05,0,14436.67,7934.44013
